-4.000000000000000000e+01,1.440359435615424211e+01
-3.000000000000000000e+01,6.164264580598415755e+00
-2.000000000000000000e+01,2.982237922413744524e+00
-1.000000000000000000e+01,2.433713256194890651e+00
0.000000000000000000e+00,1.800399571315401070e+00
1.000000000000000000e+01,1.241939865648889141e+00
2.000000000000000000e+01,1.001455859549202909e+00
3.000000000000000000e+01,9.530480214303406195e-01
4.000000000000000000e+01,7.925429497541995882e-01
5.000000000000000000e+01,7.169912926476090798e-01
